"filename", "language", "Go", "Go Module File", "Batch", "Python", "Shell Script", "JSON", "HTML", "YAML", "Grule Rules", "TypeScript", "Go Work File", "bpmn", "comment", "blank", "total"
"c:\Users\luca barbieri\Desktop\Workspace\google-function\form\axa-fleet.go", "Go", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 35, 307
"c:\Users\luca barbieri\Desktop\Workspace\google-function\form\form.go", "Go", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 41
"c:\Users\luca barbieri\Desktop\Workspace\google-function\form\go.mod", "Go Module File", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\luca barbieri\Desktop\Workspace\google-function\go.work", "Go Work File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 34
"c:\Users\luca barbieri\Desktop\Workspace\google-function\inclusive\go.mod", "Go Module File", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"c:\Users\luca barbieri\Desktop\Workspace\google-function\inclusive\hype.go", "Go", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 215
"c:\Users\luca barbieri\Desktop\Workspace\google-function\inclusive\inclusive.go", "Go", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\bigquery.go", "Go", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 114
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\blockchain-transaction.go", "Go", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 80
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\blockchain-wallet.go", "Go", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 141
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\blockchain.go", "Go", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 73
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\cors.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\csv.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\dataframe.go", "Go", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 7, 136
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\enviroment.go", "Go", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\errors.go", "Go", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\excel.go", "Go", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 79
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\execute-in-batches.go", "Go", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\file-utils.go", "Go", 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52, 306
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\firebase-auth.go", "Go", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 161
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\firestore.go", "Go", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40, 272
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\fiscal-code.go", "Go", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\format-date.go", "Go", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\format-string.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\go.mod", "Go Module File", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 89
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\http.go", "Go", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 69
"c:\Users\luca barbieri\Desktop\Workspace\google-function\lib\logging.go", "Go", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
