Date : 2023-07-29 18:45:19
Directory : c:\Users\luca barbieri\Desktop\Workspace\google-function
Total : 299 files,  177806 codes, 853 comments, 3754 blanks, all 182413 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\policy\pmi2.json                             | JSON           |        947 |          0 |          1 |        948 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\product\flutter_sdui.json                    | JSON           |        115 |         18 |          1 |        134 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\product\life.json                            | JSON           |        264 |          0 |          0 |        264 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\product\persona.json                         | JSON           |        698 |          0 |          0 |        698 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\product\pmi.json                             | JSON           |      1,203 |          0 |          8 |      1,211 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\02.json                            | JSON           |         93 |          0 |          0 |         93 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\04.json                            | JSON           |        101 |          0 |          0 |        101 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\05.json                            | JSON           |         41 |          0 |          0 |         41 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\1.json                             | JSON           |         41 |          0 |          0 |         41 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\Request.json                       | JSON           |        336 |          0 |          0 |        336 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\Response.json                      | JSON           |        303 |          0 |          0 |        303 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\quote\pmi\SmeRateRequest-09062022.ts         | TypeScript     |        103 |          7 |         14 |        124 |
| c:\Users\luca barbieri\Desktop\Workspace\google-function\mock\rules\allrisk\01.json                        | JSON           |         18 |          0 |          0 |         18 |
